KEY_CODE,市区町村,年度,人口
8542,五霞町,2004年,10009
8542,五霞町,2005年,9873
8542,五霞町,2006年,9874
8542,五霞町,2007年,9769
8542,五霞町,2008年,9603
8542,五霞町,2009年,9489
8542,五霞町,2010年,9410
8542,五霞町,2011年,9293
8542,五霞町,2012年,9181
8542,五霞町,2013年,9085
8542,五霞町,2014年,8944
8542,五霞町,2015年,8786
8542,五霞町,2016年,8635
8542,五霞町,2017年,8542
8542,五霞町,2018年,8370
8542,五霞町,2019年,8319
8542,五霞町,2020年,8093
8542,五霞町,2021年,7977
8542,五霞町,2022年,7873
8542,五霞町,2023年,7790
8546,境町,2002年,27080
8546,境町,2003年,27103
8546,境町,2004年,26992
8546,境町,2005年,26468
8546,境町,2006年,26260
8546,境町,2007年,26165
8546,境町,2008年,26026
8546,境町,2009年,25744
8546,境町,2010年,25714
8546,境町,2011年,25470
8546,境町,2012年,25267
8546,境町,2013年,25072
8546,境町,2014年,24797
8546,境町,2015年,24517
8546,境町,2016年,24423
8546,境町,2017年,24309
8546,境町,2018年,24303
8546,境町,2019年,24098
8546,境町,2020年,24201
8546,境町,2021年,24103
8546,境町,2022年,23944
8546,境町,2023年,23794
8564,利根町,2002年,18649
8564,利根町,2003年,18419
8564,利根町,2004年,18207
8564,利根町,2005年,18024
8564,利根町,2006年,17806
8564,利根町,2007年,17593
8564,利根町,2008年,17497
8564,利根町,2009年,17401
8564,利根町,2010年,17473
8564,利根町,2011年,17322
8564,利根町,2012年,17148
8564,利根町,2013年,16905
8564,利根町,2014年,16681
8564,利根町,2015年,16313
8564,利根町,2016年,16048
8564,利根町,2017年,15813
8564,利根町,2018年,15632
8564,利根町,2019年,15403
8564,利根町,2020年,15340
8564,利根町,2021年,15181
8564,利根町,2022年,14966
8564,利根町,2023年,14852
